"","PROVINCIA","Ubigeo","habitantes","IDH","esperanza","secundaria","educa","percapitaf","IDE","identidad","salud","educacion","saneamiento","electrificacion","poblacion","costa","capital","tamano","fecundidad","desnutricion","densidadpob","mortalidadinf","analfabetismo","analfabetismo_urb","analfabetismo_rural","analfabetismo_h","analfabetismo_m","pob","pob_ur","pob_rural","pob_h","pob_m","Voto_PPK","Voto_FP"
"52","CHOTA","060400",160447,0.23784862187014,72.74,37.8036509497333,4.64936826780849,186.352878750312,0.5856,95.8657,6.9577,79.134,41.0023,65.2231,167670,"NO","NO",3,"2.77","43.434846",42.28,19.6,21.84,9.81,25.17,10.02,32.58,160447,32301,128146,77987,82460,39309,30834
"53","CHUCUITO","210400",126259,0.26978121197425,71.01,66.7361851591482,6.75707341181479,165.768111840883,0.6036,98.6818,3.6953,88.2616,37.3401,71.3466,142711,"NO","NO",3,"2.82","23.142773",31.74,25.3,10.72,5.95,12.65,5.14,16.51,126259,35767,90492,64534,61725,21710,11467
"54","CHUMBIVILCAS","080700",75585,0.188959269887925,69.44,30.5467403653901,4.36522252397625,130.586804554604,0.5329,97.8608,6.0491,76.0087,39.4397,43.0746,81878,"NO","NO",2,"3.81","49.838411",14.07,30.9,25.96,14,29.83,11.78,40.13,75585,17505,58080,38166,37419,21153,6085
"55","CHUPACA","120900",51878,0.331883494455711,70.98,76.2437784064429,8.18330138427036,235.851676758272,0.6888,97.8224,6.7123,93.7842,58.9627,82.6588,53564,"NO","NO",2,"2.23","37.789407",44.99,25.4,7.9,6.59,10.01,2.22,13.01,51878,31328,20550,25096,26782,16727,15933
"56","CHURCAMPA","090500",44903,0.180170147918345,70.01,34.3438186645084,4.68507399623588,107.752692234059,0.5615,97.9364,3.7926,75.4469,25.9138,75.1098,45172,"NO","NO",1,"3.45","57.710753",36.43,28.8,25.06,11.23,29.85,12.47,36.9,44903,10183,34720,22144,22759,6406,6758
"57","CONCEPCION","120200",60121,0.303094701458529,70.55,61.0518027875101,7.32542620015991,220.492715977545,0.6705,97.8206,6.3452,85.5002,58.1659,83.1976,58942,"NO","NO",2,"2.85","40.227942",19.6,26.8,10.24,6.22,14.94,3.97,15.95,60121,30619,29502,29280,30841,13037,18076
"58","CONDESUYOS","040600",18991,0.335356478386295,72.01,59.5962615267178,7.91834721342926,269.161573582481,0.6454,97.9444,12.945,83.2657,64.6445,55.2726,18540,"NO","NO",1,"3.51","12.77101",2.73,22,10.15,7.43,11.94,3.33,19.41,18991,7764,11227,10539,8452,3846,3557
"59","CONDORCANQUI","010400",43311,0.168765634824357,70.09,8.0211600102596,5.25384796458838,147.879210921826,0.4598,86.232,8.557,52.2149,37.7145,39.4891,51802,"NO","NO",2,"4.81","56.755867",2.42,28.5,18.97,7.09,21.35,8.57,29.61,43311,6458,36853,21806,21505,6069,3930
"60","CONTRALMIRANTE VILLAR","240200",16914,0.396639069035805,75.45,58.0401314587574,7.96195366596393,399.514020897051,0.6659,99.1872,6.6236,81.4642,59.7919,81.4494,19180,"NO","NO",1,"2.87","11.206156",7.97,11.9,3.6,2.97,5.73,2.88,4.42,16914,13244,3670,8951,7963,2950,8403
"61","CONTUMAZA","060500",31369,0.291315621543513,71.98,37.6031856531682,6.26565332313342,261.326722093987,0.6327,96.95,8.5074,89.5479,51.3358,64.3249,32602,"NO","NO",1,"2.72","40.023686",15.15,22.1,9.85,5.29,13.5,5.49,14.37,31369,13297,18072,15985,15384,6584,8637
"62","CORONEL PORTILLO","250100",333890,0.377457674727485,71.89,61.8934679889527,8.98406415713381,338.130324277848,0.667,97.5922,12.5195,85.4286,42.8511,86.7715,366040,"NO","SI",4,"2.51","27.596343",9.07,22.4,2.46,1.67,7.2,1.52,3.41,333890,281946,51944,169182,164708,79074,113656
"63","CORONGO","020900",8329,0.264197206734018,72.4,32.4715572905853,6.02272505960897,220.17003474696,0.6702,96.2646,11.3027,78.1769,61.6929,80.1392,8340,"NO","NO",1,"3.07","38.919951",8.43,20.7,13.25,10.79,15.92,6.52,20.25,8329,4113,4216,4264,4065,1501,1951
"64","COTABAMBAS","030500",45771,0.195071778383553,71.31,27.8375574201124,4.24588789457709,143.264745231016,0.5426,95.6449,6.0624,74.0475,33.988,57.4942,51667,"NO","NO",2,"4.68","50.229112",17.52,24.3,33.17,15.54,40.31,18.25,48.32,45771,12205,33566,23126,22645,11722,5794
"65","CUSCO","080100",367791,0.447770954001793,74.12,72.4124109771519,11.0760098578964,428.038088112535,0.8762,97.8854,30.5147,99.5,90.3696,99.5,427580,"NO","SI",4,"1.66","20.697917",596.1,15.6,3.86,3.29,18.56,1.34,6.12,367791,351780,16011,177553,190238,164170,79577
"66","CUTERVO","060600",138213,0.221933203305357,73.07,32.0312300321473,4.66667624517279,167.260127498369,0.5462,97.1251,10.0209,72.5216,36.2101,50.5428,143667,"NO","NO",3,"3.11","46.300962",45.64,18.5,19.96,10.16,22.66,10.71,29.08,138213,26870,111343,69481,68732,28468,25906
"67","DANIEL ALCIDES CARRION","190200",47803,0.271150395121825,69.93,74.9879307321224,7.29310457732677,156.843406952295,0.6271,99.5,4.6297,95.0075,41.9339,69.4167,51789,"NO","NO",2,"2.42","43.00097",25.33,29.1,11.99,11.7,12.45,6.3,17.57,47803,27967,19836,24029,23774,9713,4876
"68","DATEM DEL MARANON","160700",49571,0.189648022362059,69.33,15.0020390700976,5.42698806401851,151.254925027366,0.4295,81.9682,4.7538,44.0338,32.0778,48.7369,59620,"NO","NO",2,"DATEM DEL MARANON","DATEM DEL MARANON",1.06,31.3,18.69,6.67,23.82,8.86,29.13,49571,13598,35973,25223,24348,8706,7087
"69","DOS DE MAYO","100300",47008,0.214606746676389,67.99,26.9881345181335,5.18240182468318,169.114575968603,0.5822,96.8027,13.0303,74.0063,49.4522,49.1357,52025,"NO","NO",2,"3.9","44.239301",32.67,36.3,16.41,9.93,20.2,8.07,24.34,47008,16433,30575,23313,23695,9616,5481
"70","EL COLLAO","210500",81059,0.281205512249916,71.1,73.949644869001,6.29699135205285,182.419127647813,0.6141,99.407,4.2362,92.492,34.7087,73.3596,84865,"NO","NO",2,"2.58","19.363288",14.47,25,14.56,5.83,18.56,6.34,22.94,81059,25376,55683,41148,39911,23463,8805
"71","EL DORADO","220300",33638,0.209755729353959,70.67,25.4960823693149,5.32504772282761,153.796488578211,0.6066,96.8349,7.7403,66.9119,68.0806,58.5684,38152,"NO","NO",1,"3.34","29.618165",25.91,26.4,12.71,8.58,15.56,7.5,18.95,33638,13087,20551,17914,15724,7285,9348
"72","ESPINAR","080800",62698,0.275893518913598,69.52,50.5812040307491,5.99478986669518,215.481212231069,0.6109,98.7317,8.9812,88.4132,45.8511,57.4631,68390,"NO","NO",2,"2.66","47.064597",11.81,30.6,14.43,7.11,20.47,5.77,22.93,62698,28305,34393,31489,31209,19277,9671
"73","FERRENAFE","140200",96142,0.29234589070364,69.09,51.8510536187126,7.01942327232813,226.987598677723,0.6891,96.8825,14.0778,73.4821,76.3114,74.4212,104820,"NO","NO",3,"3.37","47.806079",60.9,32.2,14.46,5.87,26.05,7.84,20.76,96142,51661,44481,47669,48473,19388,31097
"74","GENERAL SANCHEZ CERRO","180200",24904,0.329998856623098,75.49,76.8953817870119,8.31012216663192,212.29626346771,0.6417,98.8706,13.2708,86.5558,38.3928,74.9002,27275,"NO","NO",1,"2.15","20.921479",4.38,11.8,7.12,5.56,8.32,2.64,12.38,24904,10831,14073,13289,11615,5904,3778
"75","GRAN CHIMU","131100",30399,0.249135874283352,72.37,28.9868734219357,5.78975983703509,204.177928119862,0.5843,97.0097,10.7215,67.204,66.2424,43.8284,31402,"NO","NO",1,"3.47","40.7634",23.66,20.8,12.17,5.37,14.16,7.82,17.54,30399,6544,23855,16389,14010,3293,11343
"76","GRAU","030700",25090,0.223514326526294,69.63,38.7437642659051,5.56290896516825,150.48851373312,0.5827,95.6384,8.5845,82.4632,27.8333,71.1088,26987,"NO","NO",1,"3.4","43.535798",11.54,30.2,24.67,14.89,31.38,11.57,37.9,25090,9980,15110,12760,12330,5535,4297
"77","HUACAYBAMBA","100400",20408,0.185937963294242,70.46,16.0690250698165,4.4225843871124,156.402498154789,0.5826,96.5215,6.5479,66.9303,53.1725,63.7385,22403,"NO","NO",1,"3.43","43.694486",11.7,27.1,23.78,9.57,27.29,10.95,36.23,20408,3704,16704,10201,10207,4393,2153
"78","HUALGAYOC","060700",89813,0.205776782479168,73.04,24.3612183944438,4.05061578355889,171.520629360414,0.5614,96.224,6.0375,71.3687,51.6709,51.3883,100009,"NO","NO",3,"2.24","45.623709",115.57,18.6,28.57,14.71,33.04,13.02,42.61,89813,20404,69409,43620,46193,27407,11866
"79","HUALLAGA","220400",24448,0.256577420172543,74.69,28.8408557733337,6.57724419677171,196.400865615354,0.66,96.7308,11.4771,78.1732,74.7704,61.2204,25357,"NO","NO",1,"2.62","24.172389",10.27,14,7.05,3.99,11.3,4.29,10.24,24448,13281,11167,12916,11532,6699,7628
"80","HUAMALIES","100500",66450,0.214496802110709,71.71,26.2567963456095,5.0064134433034,163.331808927728,0.5598,94.9934,11.3609,75.2894,41.526,49.1445,73621,"NO","NO",2,"2.79","43.695277",21.13,23,16.13,11.77,17.91,8.58,23.8,66450,18696,47754,33686,32764,14491,7856
"81","HUAMANGA","050100",237848,0.327921277450962,70.88,54.3409870893872,8.03571160276121,267.697092190907,0.7591,99.4419,19.1627,83.5629,74.3072,90.3163,261382,"NO","SI",3,"2.77","41.332593",74.26,25.7,12.71,7.61,28.35,5.7,19.11,221390,161636,59754,108027,113363,69225,58896
"82","HUANCA SANCOS","050300",10620,0.227479749847779,70.52,32.0515160522285,5.88757485324749,160.916073120506,0.5723,99.5,10.4056,85.4506,26.8577,56.9772,10472,"NO","NO",1,"3.32","40.549598",3.71,26.9,18.33,14.7,25.57,5.02,30.35,10620,7168,3452,5153,5467,2373,1904
"83","HUANCABAMBA","200300",124298,0.199530812717982,66.8,28.1443680714742,4.43785948263037,157.926183825313,0.5334,94.1863,5.6703,65.4099,56.4812,41.1786,127423,"NO","NO",3,"3.98","59.708586",29.22,41.3,24.45,6.51,27.38,13.6,35.19,124298,15358,108940,62396,61902,20106,27526
"84","HUANCANE","210600",69522,0.243012804442939,69.66,64.2171289916629,5.41111909998632,152.607427557256,0.5866,98.59,6.42,86.7475,33.66,63.5913,67726,"NO","NO",2,"3.17","24.635078",24.78,30.1,20.05,8.64,22.94,7.87,31.04,69522,13851,55671,33780,35742,24656,8096
"85","HUANCAVELICA","090100",142723,0.247550377265151,68.37,47.0191593613319,6.45732878448919,166.737016161771,0.6477,98.9226,8.4463,83.9779,40.4136,86.4489,153773,"NO","SI",3,"2.91","54.014461",33.86,34.9,17.42,8.48,24.9,8.24,25.74,142723,59851,82872,69600,73123,38509,20649
"86","HUANCAYO","120100",466346,0.397743962502952,72.16,73.4370899518497,9.84262110911951,340.979833332945,0.8151,98.8701,20.3101,94.5642,85.4177,94.8395,497299,"NO","SI",4,"2.1","31.212456",131.07,21.5,5.78,4.69,14.93,1.92,9.13,466346,412051,54295,222808,243538,177839,128534
"87","HUANTA","050400",93360,0.243352787859716,71.16,36.6357561357091,5.22609152128764,190.311446289311,0.5971,98.3271,7.8265,72.0394,50.3193,64.8231,102619,"NO","NO",3,"2.79","42.002134",24.07,24.8,21,12.48,28.59,10.25,31.25,93360,42816,50544,46378,46982,14274,21146
"88","HUANUCO","100100",270233,0.330819433536728,72.25,49.676025204877,7.20741427846609,295.564552349656,0.7179,97.4669,21.9022,84.4585,65.5353,74.9612,301396,"NO","SI",4,"2.83","44.626331",67.18,21.2,16.08,6.07,33.65,9.98,21.77,270233,163235,106998,133057,137176,68747,69290
"89","HUARAL","150600",164660,0.390898513808225,75.91,68.3643089146081,8.58012931384772,338.715953098677,0.777,99.0524,17.7469,84.0086,85.1771,90.6684,182409,"SI","NO",3,"2.83","15.858376",45.04,10.8,5.55,4.96,8.31,2.66,8.49,164660,136487,28173,83461,81199,39152,71565
"90","HUARAZ","020100",147463,0.379196626211583,71.71,66.4542670867076,8.91052588686228,334.284052389111,0.8119,98.5073,21.8066,95.0063,82.9326,93.1496,161003,"NO","SI",3,"2.25","26.62561",59.15,23,10.45,6.01,24.45,4.15,16.31,147463,109376,38087,72215,75248,45346,43742
"91","HUARI","021000",62598,0.250368522228415,71.13,44.1319556789264,5.80781931020518,177.573042032418,0.6746,97.3123,14.087,76.3536,60.0936,80.0751,63726,"NO","NO",2,"3.35","46.115754",22.58,24.9,20.08,11.25,25.1,9.02,31.97,62598,22313,40285,32135,30463,18504,12582
"92","HUARMEY","021100",27820,0.392569165901571,74.84,63.4418980855076,8.87469564100784,354.330869677081,0.7574,98.0051,13.3628,95.5122,75.2566,87.6444,29972,"SI","NO",1,"2.22","14.349451",7.12,13.6,4.09,2.93,7.86,2.25,6.08,27820,21100,6720,14476,13344,6384,10774
"93","HUAROCHIRI","150700",72845,0.360651459241601,71.37,70.9292988685796,9.09062571223059,282.93800170272,0.7134,99.0322,16.2867,81.9827,73.6597,74.8972,79177,"NO","NO",2,"3.12","27.154327",12.87,24.1,3.05,2.84,3.48,1.13,5.27,72845,49334,23511,38437,34408,22870,36719
"94","HUAURA","150800",197384,0.413680227581856,74.69,72.2501204382574,9.62668891271551,368.909916268388,0.7884,99.4633,22.032,84.1302,85.147,88.7237,213188,"SI","NO",3,"2.74","17.849094",40.34,14,4.13,3.37,9.13,1.9,6.37,197384,170562,26822,99472,97912,52891,78086
"95","HUAYLAS","021200",53729,0.258717927050645,72.89,28.1340323789703,5.3691706995983,236.11637228335,0.6615,97.3926,14.3251,63.7338,69.345,76.4138,56102,"NO","NO",2,"3.15","41.521129",23.43,19.1,21.38,7.86,28.87,11.22,30.92,53729,17538,36191,26491,27238,8295,18991
"96","HUAYTARA","090600",23274,0.227282654913387,72.1,38.0036371137796,6.499570215194,138.955786338136,0.5709,97.4424,6.9062,93.0713,24.043,59.383,23361,"NO","NO",1,"2.84","54.06438",3.6,21.7,13.47,7.38,16.01,5.51,22.45,23274,6752,16522,12257,11017,3614,6578
